Name,Record,Height,Weight
Jarjis Danho,"6-1-1, 1NC",187,265
Beneil Dariush,14-4-1,177,155
Alexis Davis,19-7-0,167,125
Brandon  Davis,9-4-0,177,145
Mike Davis,5-1-0,182,145
Hakeem Dawodu,7-0-1,172,145
Grant Dawson,12-1-0,177,145
Martin Day,5-2-0,175,125
Angel De Anda,18-6-0,175,225
Chris De La Rocha,5-2-0,193,250
Mark De La Rosa,10-1-0,167,125
Montana De La Rosa,9-4-0,170,125
Marcos Rogerio De ...,15-6-1,185,205
Germaine de Randam...,7-3-0,175,135
Mackenzie Dern,7-0-0,162,115
Alessio Di Chirico,12-2-0,182,185
Marc Diakiese,12-3-0,177,155
Tyler Diamond,9-2-0,170,145
Hacran Dias,23-6-1,172,155
Adrian Diaz,11-5-1,177,145
Nate Diaz,20-11-0,182,170
Nick Diaz,"26-10-0, 1NC",182,185
TJ Dillashaw,16-3-0,167,135
Rico DiSciullo,"9-2-0, 1NC",342,69
Russell Doane,15-8-0,170,135
Drew Dober,"19-8-0, 1NC",172,170
Shana Dobson,3-3-0,167,125
John Dodson,21-9-0,160,135
CB Dollaway,18-9-0,187,185
Rafael Dos Anjos,28-10-0,172,170
Junior Dos Santos,19-5-0,193,238
Todd Duffee,9-3-0,190,260
Joe Duffy,16-3-0,177,155
Evan Dunham,18-7-1,177,155
Tom Duquesnoy,"15-2-0, 1NC",170,135
Merab Dvalishvili,7-3-0,167,135
Rolando Dy,"9-6-1, 1NC",172,145
Frankie Edgar,21-6-1,167,145
Abdul-Kerim Edilov,16-4-0,185,205
Johnny Eduardo,28-12-0,170,135
Leon Edwards,16-3-0,182,170
Te Edwards,6-1-0,172,155
Darren Elkins,25-6-0,177,145
Jake Ellenberger,31-14-0,175,170
Joe Ellenberger,15-2-0,175,155
Tim Elliott,16-8-1,170,125
Ramazan Emeev,17-3-0,177,185
Jamall Emmers,13-4-0,177,145
Josh Emmett,13-2-0,167,145
Oliver Enkamp,7-1-0,182,170
Julian Erosa,22-6-0,185,145
Carla Esparza,14-5-0,154,115
Jordan Espinosa,"12-5-0, 1NC",167,125
Jodie Esquibel,6-4-0,160,115
Sijara Eubanks,4-2-0,162,125
Rashad Evans,24-8-1,182,205
Ashlee Evans-Smith,6-3-0,172,125
Tonya Evinger,"19-6-0, 1NC",170,135
Jessica Eye,"12-6-0, 1NC",167,125
Melinda Fábián,4-3-2,167,125
Bartosz Fabinski,14-2-0,182,185
Kalindra Faria,18-7-1,170,125
Paul Felder,15-4-0,180,155
Carlos Felipe,8-0-0,182,245
Tony Ferguson,25-3-0,180,155
Cezar Ferreira,14-6-0,185,185
Diego Ferreira,13-2-0,175,155
Deiveson Figueiredo,14-0-0,165,125
Andre Fili,18-5-0,180,145
Rafael Fiziev,5-0-0,172,155
Luke Flores,7-1-0,182,155
Rob Font,15-4-0,172,135
Jussier Formiga,21-5-0,165,125
Marcel Fortuna,9-3-0,185,205
Donavon Frelow,6-3-0,167,135
Matt Frevola,6-0-0,175,155
Claudia Gadelha,16-3-0,162,115
Justin Gaethje,18-2-0,180,155
Mitch Gagnon,12-4-0,165,135
Mickey Gall,4-1-0,187,170
Tom Gallicchio,19-11-0,177,170
Cody Garbrandt,11-1-0,172,135
Alex Garcia,15-4-0,175,170
Elias Garcia,6-1-0,165,125
Kelvin Gastelum,"16-3-0, 1NC",175,185
Joe Giannetti,7-1-0,182,155
Trevin Giles,11-0-0,182,185
Gregor Gillespie,12-0-0,175,155
Alex Giplin,10-1-0,170,145
Rick Glenn,21-5-1,182,145
Mark Godbeer,13-3-0,187,240
Marcelo Golm,6-1-0,190,249
Takanori Gomi,"35-14-0, 1NC",172,155
Jason Gonzalez,11-4-0,187,155
Pearl Gonzalez,6-2-0,162,115
Lyman Good,"19-4-0, 1NC",182,170
Jared Gordon,14-2-0,175,155
Tebaris Gordon,3-0-0,185,235
Thibault Gouti,12-4-0,177,155
Damian Grabowski,20-5-0,185,241
Davey Grant,10-4-0,172,135
Dwight Grant,7-1-0,185,170
Alexa Grasso,10-2-0,165,115
Shelton  Graves,7-3-0,187,265
James Gray,4-2-0,175,135
Kevin  Gray,9-4-0,162,125
Bobby Green,24-8-1,177,155
Desmond Green,21-7-0,177,155
Max Griffin,14-5-0,180,170
Garrett Gross,11-6-0,175,155
Chris Gruetzemacher,14-3-0,172,155
Wang Guan,20-1-1,175,145
Clay Guida,34-15-0,170,145
Marcelo Guimaraes,9-2-1,182,185
John Gunther,7-1-0,175,155
Alexander Gustafss...,18-4-0,195,205
Damir Hadzovic,12-4-0,175,155
Yazan Hajeh,6-0-0,170,145
Ryan Hall,6-1-0,177,145
Uriah Hall,14-9-0,182,185
Anthony Hamilton,15-9-0,195,260
CJ Hamilton,11-5-0,170,125
Nasrat Haqparast,9-2-0,177,155
Dan Hardy,"25-10-0, 1NC",182,170
Greg Hardy,1-0-0,195,265
Walt Harris,11-7-0,195,250
John Hathaway,17-2-0,185,170
Phillip Hawes,4-2-0,185,185
Nick Hein,"14-4-0, 1NC",167,155
Ian Heinisch,10-1-0,180,185
Marcin Held,23-7-0,175,155
Johny Hendricks,18-8-0,175,185
Luis Henrique,"10-4-0, 1NC",187,243
Danny Henry,11-2-0,182,145
Ed Herman,"24-13-0, 1NC",185,205
Jack Hermansson,17-4-0,185,185
Alexander Hernandez,9-1-0,175,155
Anthony Hernandez,6-0-0,182,185
Alvaro Herrera,9-5-0,182,170
Felice Herrig,14-7-0,162,115
Jimy Hettes,11-3-0,175,145
Angela Hill,8-4-0,160,115
Tyler Hill,6-1-0,193,170
Mizuto Hirota,19-9-2,170,155
Andrew Holbrook,12-2-0,180,155
Chris  Holdsworth,7-0-0,180,135
Kevin Holland,13-3-0,190,185
Max Holloway,19-3-0,180,145
Holly Holm,12-4-0,172,145
Kurt Holobaugh,"17-5-0, 1NC",180,145
Scott Holtzman,11-2-0,175,155
Sabah Homasi,11-8-0,182,170
Barb Honchak,10-5-0,162,125
Dan Hooker,18-7-0,182,155
Darrell Horcher,13-3-0,177,155
