,fighter1,fighter2,method,date,event,class
0,Dustin Poirier,Eddie Alvarez,TKO,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Lightweight
1,José Aldo,Jeremy Stephens,TKO,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Featherweight
2,Joanna Jędrzejczyk,Tecia Torres,Decision,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Women's Strawweight
3,Alexander Hernandez,Olivier Aubin-Mercier,Decision,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Lightweight
4,Jordan Mein,Alex Morono,Decision,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Welterweight
5,Hakeem Dawodu,Austin Arnett,Decision,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Featherweight
6,Islam Makhachev,Kajan Johnson,Submission,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Lightweight
7,Ion Cuțelaba,Gadzhimurad Antigulov,TKO,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Light Heavyweight
8,John Makdessi,Ross Pearson,Decision,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Lightweight
9,Katlyn Chookagian,Alexis Davis,Decision,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Women's Flyweight
10,Dustin Ortiz,Matheus Nicolau,KO,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Flyweight
11,Nina Ansaroff,Randa Markos,Decision,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Women's Strawweight
12,Devin Powell,Álvaro Herrera,TKO,"Jul 28, 2018",UFC on Fox: Alvarez vs. Poirier 2,Lightweight
13,Anthony Smith,Maurício Rua,KO,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Light Heavyweight
14,Corey Anderson,Glover Teixeira,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Light Heavyweight
15,Abu Azaitar,Vitor Miranda,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Middleweight
16,Marcin Tybura,Stefan Struve,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Heavyweight
17,Danny Roberts,David Zawada,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Welterweight
18,Nasrat Haqparast,Marc Diakiese,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Lightweight
19,Damir Hadžović,Nick Hein,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Lightweight
20,Bartosz Fabiński,Emil Weber Meek,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Welterweight
21,Nad Narimani,Khalid Taha,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Featherweight
22,Aleksandar Rakić,Justin Ledet,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Light Heavyweight
23,Manny Bermudez,Davey Grant,Technical Submission,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Bantamweight
24,Darko Stošić,Jeremy Kimball,TKO,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Light Heavyweight
25,Liu Pingyuan,Damian Stasiak,Decision,"Jul 22, 2018",UFC Fight Night: Shogun vs. Smith,Bantamweight
26,Junior dos Santos,Blagoy Ivanov,Decision,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Heavyweight
27,Sage Northcutt,Zak Ottow,KO,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Welterweight
28,Rick Glenn,Dennis Bermudez,Decision,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Featherweight
29,Niko Price,Randy Brown,KO,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Welterweight
30,Chad Mendes,Myles Jury,TKO,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Featherweight
31,Cat Zingano,Marion Reneau,Decision,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Women's Bantamweight
32,Alejandro Pérez,Eddie Wineland,Decision,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Bantamweight
33,Alexander Volkanovski,Darren Elkins,Decision,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Featherweight
34,Said Nurmagomedov,Justin Scoggins,Decision,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Flyweight
35,Raoni Barcelos,Kurt Holobaugh,KO,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Featherweight
36,Liz Carmouche,Jennifer Maia,Decision,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Women's Flyweight
37,Mark De La Rosa,Elias Garcia,Submission,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Flyweight
38,Jessica Aguilar,Jodie Esquibel,Decision,"Jul 14, 2018",UFC Fight Night: dos Santos vs. Ivanov,Women's Strawweight
39,Daniel Cormier,Stipe Miocic (c),KO,"Jul 7, 2018",UFC 226,Heavyweight
40,Derrick Lewis,Francis Ngannou,Decision,"Jul 7, 2018",UFC 226,Heavyweight
41,Mike Perry,Paul Felder,Decision,"Jul 7, 2018",UFC 226,Welterweight
42,Anthony Pettis,Michael Chiesa,Submission,"Jul 7, 2018",UFC 226,Lightweight
43,Khalil Rountree Jr.,Gökhan Saki,TKO,"Jul 7, 2018",UFC 226,Light Heavyweight
44,Paulo Costa,Uriah Hall,TKO,"Jul 7, 2018",UFC 226,Middleweight
45,Raphael Assunção,Rob Font,Decision,"Jul 7, 2018",UFC 226,Bantamweight
46,Drakkar Klose,Lando Vannata,Decision,"Jul 7, 2018",UFC 226,Lightweight
47,Curtis Millender,Max Griffin,Decision,"Jul 7, 2018",UFC 226,Welterweight
48,Dan Hooker,Gilbert Burns,KO,"Jul 7, 2018",UFC 226,Lightweight
49,Emily Whitmire,Jamie Moyle,Decision,"Jul 7, 2018",UFC 226,Women's Strawweight
50,Israel Adesanya,Brad Tavares,Decision,"Jul 6, 2018",The Ultimate Fighter: Undefeated#The Ultimate Fighter 27 Finale,Middleweight
51,Mike Trizano,Joe Giannetti,Decision,"Jul 6, 2018",The Ultimate Fighter: Undefeated#The Ultimate Fighter 27 Finale,Lightweight
52,Brad Katona,Jay Cucciniello,Decision,"Jul 6, 2018",The Ultimate Fighter: Undefeated#The Ultimate Fighter 27 Finale,Featherweight
53,Alex Caceres,Martín Bravo,Decision,"Jul 6, 2018",The Ultimate Fighter: Undefeated#The Ultimate Fighter 27 Finale,Featherweight
54,Roxanne Modafferi,Barb Honchak,TKO,"Jul 6, 2018",The Ultimate Fighter: Undefeated#The Ultimate Fighter 27 Finale,Women's Flyweight
55,Alessio Di Chirico,Julian Marquez,Decision,"Jul 6, 2018",The Ultimate Fighter: Undefeated#The Ultimate Fighter 27 Finale,Catchweight
56,Montana De La Rosa,Rachael Ostovich,Submission,"Jul 6, 2018",The Ultimate Fighter: Undefeated#The Ultimate Fighter 27 Finale,Women's Flyweight
57,Luis Peña,Richie Smullen,Submission,"Jul 6, 2018",The Ultimate Fighter: Undefeated#The Ultimate Fighter 27 Finale,Lightweight
58,John Gunther,Allan Zuñiga,Decision,"Jul 6, 2018",The Ultimate Fighter: Undefeated#The Ultimate Fighter 27 Finale,Lightweight
59,Bryce Mitchell,Tyler Diamond,Decision,"Jul 6, 2018",The Ultimate Fighter: Undefeated#The Ultimate Fighter 27 Finale,Featherweight
60,Steven Peterson,Matt Bessette,Decision,"Jul 6, 2018",The Ultimate Fighter: Undefeated#The Ultimate Fighter 27 Finale,Featherweight
61,Gerald Meerschaert,Oskar Piechota,Technical Submission,"Jul 6, 2018",The Ultimate Fighter: Undefeated#The Ultimate Fighter 27 Finale,Middleweight
62,Leon Edwards,Donald Cerrone,Decision,"Jun 23, 2018",UFC Fight Night: Cowboy vs. Edwards,Welterweight
63,Ovince Saint Preux,Tyson Pedro,Submission,"Jun 23, 2018",UFC Fight Night: Cowboy vs. Edwards,Light Heavyweight
64,Jessica Eye,Jessica-Rose Clark,Decision,"Jun 23, 2018",UFC Fight Night: Cowboy vs. Edwards,Women's Flyweight
65,Li Jingliang,Daichi Abe,Decision,"Jun 23, 2018",UFC Fight Night: Cowboy vs. Edwards,Welterweight
66,Petr Yan,Teruto Ishihara,TKO,"Jun 23, 2018",UFC Fight Night: Cowboy vs. Edwards,Bantamweight
67,Song Yadong,Felipe Arantes,TKO,"Jun 23, 2018",UFC Fight Night: Cowboy vs. Edwards,Bantamweight
68,Shane Young,Rolando Dy,TKO,"Jun 23, 2018",UFC Fight Night: Cowboy vs. Edwards,Featherweight
69,Song Kenan,Hector Aldana,TKO,"Jun 23, 2018",UFC Fight Night: Cowboy vs. Edwards,Welterweight
70,Jake Matthews,Shinsho Anzai,Technical Submission,"Jun 23, 2018",UFC Fight Night: Cowboy vs. Edwards,Welterweight
71,Yan Xiaonan,Viviane Pereira,Decision,"Jun 23, 2018",UFC Fight Night: Cowboy vs. Edwards,Women's Strawweight
72,Matt Schnell,Naoki Inoue,Decision,"Jun 23, 2018",UFC Fight Night: Cowboy vs. Edwards,Flyweight
73,Ulka Sasaki,Jenel Lausa,Submission,"Jun 23, 2018",UFC Fight Night: Cowboy vs. Edwards,Flyweight
74,Ji Yeon Kim,Melinda Fabián,Decision,"Jun 23, 2018",UFC Fight Night: Cowboy vs. Edwards,Women's Flyweight
75,Robert Whittaker (c),Yoel Romero,Decision,"Jun 9, 2018",UFC 225,Middleweight
76,Colby Covington,Rafael dos Anjos,Decision,"Jun 9, 2018",UFC 225,Welterweight
77,Holly Holm,Megan Anderson,Decision,"Jun 9, 2018",UFC 225,Women's Featherweight
78,Tai Tuivasa,Andrei Arlovski,Decision,"Jun 9, 2018",UFC 225,Heavyweight
79,Mike Jackson,CM Punk,Decision,"Jun 9, 2018",UFC 225,Welterweight
80,Curtis Blaydes,Alistair Overeem,TKO,"Jun 9, 2018",UFC 225,Heavyweight
81,Cláudia Gadelha,Carla Esparza,Decision,"Jun 9, 2018",UFC 225,Women's Strawweight
82,Mirsad Bektić,Ricardo Lamas,Decision,"Jun 9, 2018",UFC 225,Featherweight
83,Chris de la Rocha,Rashad Coulter,TKO,"Jun 9, 2018",UFC 225,Heavyweight
84,Anthony Smith,Rashad Evans,KO,"Jun 9, 2018",UFC 225,Light Heavyweight
85,Sergio Pettis,Joseph Benavidez,Decision,"Jun 9, 2018",UFC 225,Flyweight
86,Charles Oliveira,Clay Guida,Submission,"Jun 9, 2018",UFC 225,Lightweight
87,Dan Ige,Mike Santiago,TKO,"Jun 9, 2018",UFC 225,Featherweight
88,Marlon Moraes,Jimmie Rivera,KO,"Jun 1, 2018",UFC Fight Night: Rivera vs. Moraes,Bantamweight
89,Gregor Gillespie,Vinc Pichel,Submission,"Jun 1, 2018",UFC Fight Night: Rivera vs. Moraes,Lightweight
90,Walt Harris,Daniel Spitz,TKO,"Jun 1, 2018",UFC Fight Night: Rivera vs. Moraes,Heavyweight
91,Ben Saunders,Jake Ellenberger,TKO,"Jun 1, 2018",UFC Fight Night: Rivera vs. Moraes,Welterweight
92,Julio Arce,Daniel Teymur,Submission,"Jun 1, 2018",UFC Fight Night: Rivera vs. Moraes,Featherweight
93,Sam Alvey,Gian Villante,Decision,"Jun 1, 2018",UFC Fight Night: Rivera vs. Moraes,Light Heavyweight
94,Sijara Eubanks,Lauren Murphy,Decision,"Jun 1, 2018",UFC Fight Night: Rivera vs. Moraes,Women's Flyweight
95,David Teymur,Nik Lentz,Decision,"Jun 1, 2018",UFC Fight Night: Rivera vs. Moraes,Lightweight
96,Belal Muhammad,Chance Rencountre,Decision,"Jun 1, 2018",UFC Fight Night: Rivera vs. Moraes,Welterweight
97,Desmond Green,Gleison Tibau,Decision,"Jun 1, 2018",UFC Fight Night: Rivera vs. Moraes,Lightweight
98,Nathaniel Wood,Johnny Eduardo,Submission,"Jun 1, 2018",UFC Fight Night: Rivera vs. Moraes,Bantamweight
99,Jose Torres,Jarred Brooks,KO,"Jun 1, 2018",UFC Fight Night: Rivera vs. Moraes,Flyweight
100,Darren Till,Stephen Thompson,Decision,"May 27, 2018",UFC Fight Night: Thompson vs. Till,Catchweight
101,Neil Magny,Craig White,TKO,"May 27, 2018",UFC Fight Night: Thompson vs. Till,Welterweight
102,Arnold Allen,Mads Burnell,Submission,"May 27, 2018",UFC Fight Night: Thompson vs. Till,Featherweight
103,Makwan Amirkhani,Jason Knight,Decision,"May 27, 2018",UFC Fight Night: Thompson vs. Till,Featherweight
104,Cláudio Silva,Nordine Taleb,Submission,"May 27, 2018",UFC Fight Night: Thompson vs. Till,Welterweight
105,Darren Stewart,Eric Spicely,TKO,"May 27, 2018",UFC Fight Night: Thompson vs. Till,Middleweight
106,Tom Breese,Dan Kelly,TKO,"May 27, 2018",UFC Fight Night: Thompson vs. Till,Middleweight
107,Lina Länsberg,Gina Mazany,Decision,"May 27, 2018",UFC Fight Night: Thompson vs. Till,Women's Bantamweight
108,Carlo Pedersoli Jr.,Brad Scott,Decision,"May 27, 2018",UFC Fight Night: Thompson vs. Till,Welterweight
109,Gillian Robertson,Molly McCann,Technical Submission,"May 27, 2018",UFC Fight Night: Thompson vs. Till,Catchweight
110,Elias Theodorou,Trevor Smith,Decision,"May 27, 2018",UFC Fight Night: Thompson vs. Till,Middleweight
111,Kamaru Usman,Demian Maia,Decision,"May 19, 2018",UFC Fight Night: Maia vs. Usman,Welterweight
112,Tatiana Suarez,Alexa Grasso,Submission,"May 19, 2018",UFC Fight Night: Maia vs. Usman,Women's Strawweight
113,Dominick Reyes,Jared Cannonier,TKO,"May 19, 2018",UFC Fight Night: Maia vs. Usman,Light Heavyweight
114,Guido Cannetti,Diego Rivas,Decision,"May 19, 2018",UFC Fight Night: Maia vs. Usman,Bantamweight
115,Andrea Lee,Veronica Macedo,Decision,"May 19, 2018",UFC Fight Night: Maia vs. Usman,Women's Flyweight
116,Vicente Luque,Chad Laprise,KO,"May 19, 2018",UFC Fight Night: Maia vs. Usman,Welterweight
117,Michel Prazeres,Zak Cummings,Decision,"May 19, 2018",UFC Fight Night: Maia vs. Usman,Welterweight
118,Alexandre Pantoja,Brandon Moreno,Decision,"May 19, 2018",UFC Fight Night: Maia vs. Usman,Flyweight
119,Poliana Botelho,Syuri Kondo,TKO,"May 19, 2018",UFC Fight Night: Maia vs. Usman,Women's Strawweight
120,Gabriel Benítez,Humberto Bandenay,KO,"May 19, 2018",UFC Fight Night: Maia vs. Usman,Featherweight
121,Enrique Barzola,Brandon Davis,Decision,"May 19, 2018",UFC Fight Night: Maia vs. Usman,Featherweight
122,Frankie Saenz,Henry Briones,Decision,"May 19, 2018",UFC Fight Night: Maia vs. Usman,Bantamweight
123,Claudio Puelles,Felipe Silva,Submission,"May 19, 2018",UFC Fight Night: Maia vs. Usman,Lightweight
124,Amanda Nunes (c),Raquel Pennington,TKO,"May 12, 2018",UFC 224,Women's Bantamweight
125,Kelvin Gastelum,Ronaldo Souza,Decision,"May 12, 2018",UFC 224,Middleweight
126,Mackenzie Dern,Amanda Cooper,Submission,"May 12, 2018",UFC 224,Catchweight
127,John Lineker,Brian Kelleher,KO,"May 12, 2018",UFC 224,Bantamweight
128,Lyoto Machida,Vitor Belfort,KO,"May 12, 2018",UFC 224,Middleweight
129,Cezar Ferreira,Karl Roberson,Technical Submission,"May 12, 2018",UFC 224,Middleweight
130,Oleksiy Oliynyk,Júnior Albini,Submission,"May 12, 2018",UFC 224,Heavyweight
131,Davi Ramos,Nick Hein,Submission,"May 12, 2018",UFC 224,Lightweight
132,Elizeu Zaleski dos Santos,Sean Strickland,KO,"May 12, 2018",UFC 224,Welterweight
133,Warlley Alves,Sultan Aliev,TKO,"May 12, 2018",UFC 224,Welterweight
134,Jack Hermansson,Thales Leites,TKO,"May 12, 2018",UFC 224,Middleweight
135,Ramazan Emeev,Alberto Mina,Decision,"May 12, 2018",UFC 224,Welterweight
136,Markus Perez,James Bochnovic,Submission,"May 12, 2018",UFC 224,Middleweight
137,Kevin Lee,Edson Barboza,TKO,"Apr 21, 2018",UFC Fight Night: Barboza vs. Lee,Catchweight
138,Frankie Edgar,Cub Swanson,Decision,"Apr 21, 2018",UFC Fight Night: Barboza vs. Lee,Featherweight
139,Justin Willis,Chase Sherman,Decision,"Apr 21, 2018",UFC Fight Night: Barboza vs. Lee,Heavyweight
140,David Branch,Thiago Santos,KO,"Apr 21, 2018",UFC Fight Night: Barboza vs. Lee,Middleweight
141,Aljamain Sterling,Brett Johns,Decision,"Apr 21, 2018",UFC Fight Night: Barboza vs. Lee,Bantamweight
142,Dan Hooker,Jim Miller,KO,"Apr 21, 2018",UFC Fight Night: Barboza vs. Lee,Lightweight
143,Ryan LaFlare,Alex Garcia,Decision,"Apr 21, 2018",UFC Fight Night: Barboza vs. Lee,Welterweight
144,Ricky Simon,Merab Dvalishvili,TKO,"Apr 21, 2018",UFC Fight Night: Barboza vs. Lee,Bantamweight
145,Siyar Bahadurzada,Luan Chagas,KO,"Apr 21, 2018",UFC Fight Night: Barboza vs. Lee,Welterweight
146,Corey Anderson,Patrick Cummins,Decision,"Apr 21, 2018",UFC Fight Night: Barboza vs. Lee,Light Heavyweight
147,Tony Martin,Keita Nakamura,Decision,"Apr 21, 2018",UFC Fight Night: Barboza vs. Lee,Welterweight
148,Dustin Poirier,Justin Gaethje,TKO,"Apr 14, 2018",UFC on Fox: Poirier vs. Gaethje,Lightweight
149,Alex Oliveira,Carlos Condit,Submission,"Apr 14, 2018",UFC on Fox: Poirier vs. Gaethje,Welterweight
150,Israel Adesanya,Marvin Vettori,Decision,"Apr 14, 2018",UFC on Fox: Poirier vs. Gaethje,Middleweight
151,Michelle Waterson,Cortney Casey,Decision,"Apr 14, 2018",UFC on Fox: Poirier vs. Gaethje,Women's Strawweight
152,Antônio Carlos Júnior,Tim Boetsch,Submission,"Apr 14, 2018",UFC on Fox: Poirier vs. Gaethje,Middleweight
153,Muslim Salikhov,Ricky Rainey,KO,"Apr 14, 2018",UFC on Fox: Poirier vs. Gaethje,Welterweight
154,John Moraga,Wilson Reis,Decision,"Apr 14, 2018",UFC on Fox: Poirier vs. Gaethje,Flyweight
155,Brad Tavares,Krzysztof Jotko,TKO,"Apr 14, 2018",UFC on Fox: Poirier vs. Gaethje,Middleweight
156,Gilbert Burns,Dan Moret,KO,"Apr 14, 2018",UFC on Fox: Poirier vs. Gaethje,Lightweight
157,Lauren Mueller,Shana Dobson,Decision,"Apr 14, 2018",UFC on Fox: Poirier vs. Gaethje,Women's Flyweight
158,Yushin Okami,Dhiego Lima,Decision,"Apr 14, 2018",UFC on Fox: Poirier vs. Gaethje,Welterweight
159,Adam Wieczorek,Arjan Bhullar,Submission,"Apr 14, 2018",UFC on Fox: Poirier vs. Gaethje,Heavyweight
160,Alejandro Pérez,Matthew Lopez,TKO,"Apr 14, 2018",UFC on Fox: Poirier vs. Gaethje,Bantamweight
161,Luke Sanders,Patrick Williams,Decision,"Apr 14, 2018",UFC on Fox: Poirier vs. Gaethje,Bantamweight
162,Khabib Nurmagomedov,Al Iaquinta,Decision,"Apr 7, 2018",UFC 223,Lightweight
163,Rose Namajunas (c),Joanna Jędrzejczyk,Decision,"Apr 7, 2018",UFC 223,Women's Strawweight
164,Renato Moicano,Calvin Kattar,Decision,"Apr 7, 2018",UFC 223,Featherweight
165,Zabit Magomedsharipov,Kyle Bochniak,Decision,"Apr 7, 2018",UFC 223,Featherweight
166,Chris Gruetzemacher,Joe Lauzon,TKO,"Apr 7, 2018",UFC 223,Lightweight
167,Karolina Kowalkiewicz,Felice Herrig,Decision,"Apr 7, 2018",UFC 223,Women's Strawweight
168,Olivier Aubin-Mercier,Evan Dunham,TKO,"Apr 7, 2018",UFC 223,Lightweight
169,Ashlee Evans-Smith,Bec Rawlings,Decision,"Apr 7, 2018",UFC 223,Women's Flyweight
170,Devin Clark,Mike Rodriguez,Decision,"Apr 7, 2018",UFC 223,Light Heavyweight
171,Alexander Volkov,Fabrício Werdum,KO,"Mar 17, 2018",UFC Fight Night: Werdum vs. Volkov,Heavyweight
172,Jan Błachowicz,Jimi Manuwa,Decision,"Mar 17, 2018",UFC Fight Night: Werdum vs. Volkov,Light Heavyweight
173,Tom Duquesnoy,Terrion Ware,Decision,"Mar 17, 2018",UFC Fight Night: Werdum vs. Volkov,Bantamweight
174,Leon Edwards,Peter Sobotta,TKO,"Mar 17, 2018",UFC Fight Night: Werdum vs. Volkov,Welterweight
175,Charles Byrd,John Phillips,Submission,"Mar 17, 2018",UFC Fight Night: Werdum vs. Volkov,Middleweight
176,Danny Roberts,Oliver Enkamp,KO,"Mar 17, 2018",UFC Fight Night: Werdum vs. Volkov,Welterweight
177,Danny Henry,Hakeem Dawodu,Technical Submission,"Mar 17, 2018",UFC Fight Night: Werdum vs. Volkov,Featherweight
178,Paul Craig,Magomed Ankalaev,Submission,"Mar 17, 2018",UFC Fight Night: Werdum vs. Volkov,Light Heavyweight
179,Kajan Johnson,Stevie Ray,Decision,"Mar 17, 2018",UFC Fight Night: Werdum vs. Volkov,Lightweight
180,Dmitriy Sosnovskiy,Mark Godbeer,Submission,"Mar 17, 2018",UFC Fight Night: Werdum vs. Volkov,Heavyweight
181,Cris Cyborg (c),Yana Kunitskaya,TKO,"Mar 3, 2018",UFC 222,Women's Featherweight
182,Brian Ortega,Frankie Edgar,KO,"Mar 3, 2018",UFC 222,Featherweight
183,Sean O’Malley,Andre Soukhamthath,Decision,"Mar 3, 2018",UFC 222,Bantamweight
184,Andrei Arlovski,Stefan Struve,Decision,"Mar 3, 2018",UFC 222,Heavyweight
185,Ketlen Vieira,Cat Zingano,Decision,"Mar 3, 2018",UFC 222,Women's Bantamweight
186,Mackenzie Dern,Ashley Yoder,Decision,"Mar 3, 2018",UFC 222,Women's Strawweight
187,Alexander Hernandez,Beneil Dariush,KO,"Mar 3, 2018",UFC 222,Lightweight
188,John Dodson,Pedro Munhoz,Decision,"Mar 3, 2018",UFC 222,Bantamweight
189,C.B. Dollaway,Hector Lombard,Disqualification,"Mar 3, 2018",UFC 222,Middleweight
190,Zak Ottow,Mike Pyle,TKO,"Mar 3, 2018",UFC 222,Welterweight
191,Cody Stamann,Bryan Caraway,Decision,"Mar 3, 2018",UFC 222,Bantamweight
192,Jordan Johnson,Adam Milstead,Decision,"Mar 3, 2018",UFC 222,Light Heavyweight
193,Jeremy Stephens,Josh Emmett,KO,"Feb 24, 2018",UFC on Fox: Emmett vs. Stephens,Featherweight
194,Jéssica Andrade,Tecia Torres,Decision,"Feb 24, 2018",UFC on Fox: Emmett vs. Stephens,Women's Strawweight
195,Ilir Latifi,Ovince Saint Preux,Technical Submission,"Feb 24, 2018",UFC on Fox: Emmett vs. Stephens,Light Heavyweight
196,Max Griffin,Mike Perry,Decision,"Feb 24, 2018",UFC on Fox: Emmett vs. Stephens,Welterweight
197,Brian Kelleher,Renan Barão,Decision,"Feb 24, 2018",UFC on Fox: Emmett vs. Stephens,Bantamweight
198,Marion Reneau,Sara McMann,Submission,"Feb 24, 2018",UFC on Fox: Emmett vs. Stephens,Women's Bantamweight
199,Angela Hill,Maryna Moroz,Decision,"Feb 24, 2018",UFC on Fox: Emmett vs. Stephens,Women's Strawweight
200,Alan Jouban,Ben Saunders,KO,"Feb 24, 2018",UFC on Fox: Emmett vs. Stephens,Welterweight
201,Sam Alvey,Marcin Prachnio,KO,"Feb 24, 2018",UFC on Fox: Emmett vs. Stephens,Light Heavyweight
202,Rani Yahya,Russell Doane,Submission,"Feb 24, 2018",UFC on Fox: Emmett vs. Stephens,Bantamweight
203,Alex Perez,Eric Shelton,Decision,"Feb 24, 2018",UFC on Fox: Emmett vs. Stephens,Catchweight
204,Manny Bermudez,Albert Morales,Submission,"Feb 24, 2018",UFC on Fox: Emmett vs. Stephens,Bantamweight
205,Donald Cerrone,Yancy Medeiros,TKO,"Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros,Welterweight
206,Derrick Lewis,Marcin Tybura,TKO,"Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros,Heavyweight
207,James Vick,Francisco Trinaldo,Decision,"Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros,Lightweight
208,Curtis Millender,Thiago Alves,KO,"Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros,Welterweight
209,Brandon Davis,Steven Peterson,Decision,"Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros,Featherweight
210,Sage Northcutt,Thibault Gouti,Decision,"Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros,Lightweight
211,Carlos Diego Ferreira,Jared Gordon,TKO,"Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros,Lightweight
212,Geoff Neal,Brian Camozzi,Submission,"Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros,Welterweight
213,Roberto Sanchez,Joby Sanchez,Submission,"Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros,Flyweight
214,Lucie Pudilová,Sarah Moras,Decision,"Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros,Women's Bantamweight
215,Alex Morono,Josh Burkman,Submission,"Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros,Welterweight
216,Oskar Piechota,Tim Williams,KO,"Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros,Middleweight
217,Yoel Romero,Luke Rockhold,KO,"Feb 11, 2018",UFC 221,Catchweight
218,Curtis Blaydes,Mark Hunt,Decision,"Feb 11, 2018",UFC 221,Heavyweight
219,Tai Tuivasa,Cyril Asker,TKO,"Feb 11, 2018",UFC 221,Heavyweight
220,Jake Matthews,Li Jingliang,Decision,"Feb 11, 2018",UFC 221,Welterweight
221,Tyson Pedro,Saparbek Safarov,Submission,"Feb 11, 2018",UFC 221,Light Heavyweight
222,Dong Hyun Kim,Damien Brown,Decision,"Feb 11, 2018",UFC 221,Lightweight
223,Israel Adesanya,Rob Wilkinson,TKO,"Feb 11, 2018",UFC 221,Middleweight
224,Alexander Volkanovski,Jeremy Kennedy,TKO,"Feb 11, 2018",UFC 221,Featherweight
225,Jussier Formiga,Ben Nguyen,Technical Submission,"Feb 11, 2018",UFC 221,Flyweight
226,Ross Pearson,Mizuto Hirota,Decision,"Feb 11, 2018",UFC 221,Lightweight
227,José Alberto Quiñónez,Teruto Ishihara,Decision,"Feb 11, 2018",UFC 221,Bantamweight
228,Luke Jumeau,Daichi Abe,Decision,"Feb 11, 2018",UFC 221,Welterweight
229,Lyoto Machida,Eryk Anders,Decision,"Feb 3, 2018",UFC Fight Night: Machida vs. Anders,Middleweight
230,Valentina Shevchenko,Priscila Cachoeira,Submission,"Feb 3, 2018",UFC Fight Night: Machida vs. Anders,Women's Flyweight
231,Michel Prazeres,Desmond Green,Decision,"Feb 3, 2018",UFC Fight Night: Machida vs. Anders,Catchweight
232,Timothy Johnson,Marcelo Golm,Decision,"Feb 3, 2018",UFC Fight Night: Machida vs. Anders,Heavyweight
233,Douglas Silva de Andrade,Marlon Vera,Decision,"Feb 3, 2018",UFC Fight Night: Machida vs. Anders,Bantamweight
234,Thiago Santos,Anthony Smith,TKO,"Feb 3, 2018",UFC Fight Night: Machida vs. Anders,Middleweight
235,Sérgio Moraes,Tim Means,Decision,"Feb 3, 2018",UFC Fight Night: Machida vs. Anders,Welterweight
236,Alan Patrick,Damir Hadžović,Decision,"Feb 3, 2018",UFC Fight Night: Machida vs. Anders,Lightweight
237,Polyana Viana,Maia Stevenson,Submission,"Feb 3, 2018",UFC Fight Night: Machida vs. Anders,Women's Strawweight
238,Iuri Alcântara,Joe Soto,TKO,"Feb 3, 2018",UFC Fight Night: Machida vs. Anders,Bantamweight
