Name,Record,Height,Weight
John Castaneda,14-2-0,170,135
Cindy Dandois,8-3-0,170,135
Russell Doane,15-8-0,170,135
Tom Duquesnoy,"15-2-0, 1NC",170,135
Johnny Eduardo,28-12-0,170,135
Tonya Evinger,"19-6-0, 1NC",170,135
Teruto Ishihara,11-5-2,170,135
Brett Johns,15-1-0,170,135
Bharat Kandare,5-3-0,170,135
Kwan Ho Kwak,9-2-0,170,135
Lina Lansberg,8-3-0,170,135
Matthew Lopez,10-4-0,170,135
Vince Morales,7-1-0,170,135
Sarah Moras,5-4-0,170,135
Larissa Pacheco,10-2-0,170,135
Raquel Pennington,9-7-0,170,135
Ronda Rousey,12-2-0,170,135
Justin Scoggins,11-5-0,170,135
Douglas Silva de A...,"25-2-0, 1NC",170,135
Ricky Simon,10-1-0,170,135
Aljamain Sterling,14-3-0,170,135
Eddie Wineland,23-13-1,170,135
Petr Yan,8-1-0,170,135
Felipe Arantes,"18-9-1, 2NC",172,135
Henry Briones,19-8-1,172,135
Bryan Caraway,21-9-0,172,135
Dominick Cruz,22-2-0,172,135
Rob Font,15-4-0,172,135
Cody Garbrandt,11-1-0,172,135
Davey Grant,10-4-0,172,135
Alfred  Khashakyan,8-4-0,172,135
Cheyden  Leialoha,6-1-0,172,135
Pingyuan Liu,11-5-0,172,135
Amanda Nunes,16-4-0,172,135
Kyler  Phillips,5-0-0,172,135
Lucie Pudilova,8-2-0,172,135
Jose Quinonez,8-2-0,172,135
Ricky Turcios,8-0-0,172,135
Marlon Vera,10-5-1,172,135
Ketlen Vieira,10-0-0,172,135
Terrion Ware,17-7-0,172,135
Patrick Williams,8-7-0,172,135
Song Yadong,"12-3-0, 2NC",172,135
Wu Yanan,9-2-0,172,135
Aiemann Zahabi,7-1-0,172,135
Iuri Alcantara,"35-9-0, 1NC",175,135
Irene Aldana,8-4-0,175,135
Germaine de Randam...,7-3-0,175,135
James Gray,4-2-0,175,135
Montel Jackson,6-0-0,175,135
Kyung Ho Kang,"13-7-0, 1NC",175,135
Albert Morales,7-4-1,175,135
Ricardo Ramos,11-1-0,175,135
Boston Salmon,6-1-0,175,135
Leslie Smith,10-7-1,175,135
Andre Soukhamthath,12-6-0,175,135
Kelly Velasco,2-2-0,175,135
Manny Bermudez,13-0-0,177,135
Benito Lopez,9-0-0,177,135
Chris  Holdsworth,7-0-0,180,135
Sean O'Malley,10-0-0,180,135
Domingo Pilarte,8-1-0,182,135
Dennis Bermudez,17-9-0,167,145
Frankie Edgar,21-6-1,167,145
Josh Emmett,13-2-0,167,145
Brad Katona,8-0-0,167,145
Yana Kunitskaya,"10-4-0, 1NC",167,145
Chad Mendes,18-4-0,167,145
Alexander Volkanov...,18-1-0,167,145
Jose Aldo,26-4-0,170,145
Julio Arce,15-2-0,170,145
Raoni Barcelos,12-1-0,170,145
Enrique Barzola,16-3-1,170,145
Kyle Bochniak,8-3-0,170,145
Mark Cherico,11-2-0,170,145
Jay Cucciniello,9-1-0,170,145
Tyler Diamond,9-2-0,170,145
Alex Giplin,10-1-0,170,145
Clay Guida,34-15-0,170,145
Yazan Hajeh,6-0-0,170,145
Dan Ige,9-2-0,170,145
Rony Jason,"15-7-0, 1NC",170,145
Chan Sung Jung,14-4-0,170,145
Godofredo Pepey,14-6-0,170,145
Matt Sayles,6-1-0,170,145
Dennis Siver,"23-11-0, 1NC",170,145
Lazar  Stojadinovic,12-6-0,170,145
Khalid Taha,12-2-0,170,145
Gavin Tucker,10-1-0,170,145
Arnold Allen,13-1-0,172,145
Mirsad Bektic,13-1-0,172,145
Gabriel Benitez,21-7-0,172,145
Martin Bravo,12-2-0,172,145
Cris Cyborg,"20-1-0, 1NC",172,145
Hakeem Dawodu,7-0-1,172,145
Rolando Dy,"9-6-1, 1NC",172,145
Holly Holm,12-4-0,172,145
Ricardo Lamas,18-7-0,172,145
Gray Maynard,"14-7-1, 1NC",172,145
Toby Misech,10-4-0,172,145
Sheymon Moraes,9-1-0,172,145
Nad Narimani,11-2-0,172,145
Brian Ortega,"14-0-0, 1NC",172,145
Diego Rivas,7-2-0,172,145
Austin Springer,10-3-0,172,145
Cub Swanson,25-8-0,172,145
Zubaira Tukhugov,18-4-0,172,145
Shane Young,11-4-0,172,145
Sodiq Yusuff,6-1-0,172,145
Wuliji Buren,10-5-0,175,145
Mads Burnell,9-3-0,175,145
Martin Buschkamp,"9-0-0, 1NC",175,145
Wang Guan,20-1-1,175,145
Jimy Hettes,11-3-0,175,145
Jacob Kilburn,3-1-0,175,145
Thanh  Le,7-1-0,175,145
Artem Lobov,"14-14-1, 1NC",175,145
Maurice Mitchell,11-1-0,175,145
BJ Penn,16-12-2,175,145
Steven Peterson,17-7-0,175,145
Peter Petties,5-3-0,175,145
Charles Rosa,11-3-0,175,145
Jeremy Stephens,28-14-0,175,145
Makwan Amirkhani,14-3-0,177,145
Matt Bessette,"22-9-0, 1NC",177,145
Alex Caceres,"14-11-0, 1NC",177,145
Dooho Choi,14-2-0,177,145
Brandon  Davis,9-4-0,177,145
Grant Dawson,12-1-0,177,145
Adrian Diaz,11-5-1,177,145
Darren Elkins,25-6-0,177,145
Jamall Emmers,13-4-0,177,145
Ryan Hall,6-1-0,177,145
Myles Jury,17-3-0,177,145
Jason Knight,20-5-0,177,145
Bryce Mitchell,10-1-0,177,145
Bobby Moffett,11-3-0,177,145
Mike Santiago,21-12-0,177,145
Shane Burgos,10-1-0,180,145
Andre Fili,18-5-0,180,145
Max Holloway,19-3-0,180,145
Kurt Holobaugh,"17-5-0, 1NC",180,145
Calvin Kattar,18-3-0,180,145
Jeremy Kennedy,11-1-0,180,145
Renato Moicano,12-1-1,180,145
Yair Rodriguez,11-2-0,180,145
Cory Sandhagen,8-1-0,180,145
Chas Skelly,17-2-0,180,145
Megan Anderson,8-3-0,182,145
Austin Arnett,15-4-0,182,145
Giga Chikadze,5-1-0,182,145
Mike Davis,5-1-0,182,145
Rick Glenn,21-5-1,182,145
Danny Henry,11-2-0,182,145
Humberto Bandenay,"14-5-0, 1NC",185,145
Julian Erosa,22-6-0,185,145
Zabit Magomedshari...,15-1-0,185,145
Nick Hein,"14-4-0, 1NC",167,155
Kevin Aguilar,14-1-0,170,155
Mizuto Hirota,19-9-2,170,155
Allan Zuniga,13-2-0,170,155
Hacran Dias,23-6-1,172,155
