,First,Last,Nickname,Ht,Wt,Reach,Stance,Win,Loss,Draw,Total Fights,Wt_numeric,Htcm
1318,Jamelle,Jones,The Beast,"6' 0""",205 lbs.,"75.0""",Orthodox,7,5,0,12,205,182.88
1319,Renato,Verissimo,Charuto,"6' 1""",170 lbs.,--,Orthodox,7,5,0,12,170,185.42
1320,Brian,Camozzi,Mantis,"6' 2""",170 lbs.,"78.0""",Orthodox,7,5,0,12,170,187.96
1321,Danny,Davis,,"6' 2""",170 lbs.,--,,6,5,1,12,170,187.96
1322,Dave,Beneteau,Dangerous,"6' 2""",250 lbs.,--,Orthodox,6,5,1,12,265,187.96
1325,Frank,Lester,,"5' 11""",170 lbs.,--,Orthodox,6,6,0,12,170,180.34
1326,Ariel,Gandulla,,"5' 11""",205 lbs.,--,Orthodox,6,6,0,12,205,180.34
1327,Dan,O'Connor,Johnny Irish,"5' 4""",115 lbs.,--,,6,6,0,12,115,162.56
1328,Anthony,Figueroa,,"5' 4""",135 lbs.,--,Orthodox,5,6,1,12,135,162.56
1329,Yukio,Sakaguchi,,"5' 9""",185 lbs.,--,Orthodox,6,6,0,12,185,175.26
1330,Luke,Cummo,,"6' 0""",170 lbs.,"74.0""",Orthodox,6,6,0,12,170,182.88
1331,Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,12,265,187.96
1333,John,Salgado,Greco,"5' 10""",170 lbs.,--,,4,7,1,12,170,177.8
1334,Dong Sik,Yoon,,"6' 0""",185 lbs.,--,Orthodox,5,7,0,12,185,182.88
1335,Chris,Hawk,,"6' 1""",205 lbs.,--,,4,8,0,12,205,185.42
1336,Manny,Bermudez,The Bermudez Triangle,"5' 10""",135 lbs.,"71.0""",Orthodox,13,0,0,13,135,177.8
1337,Pietro,Menga,The Italian Stallion,"5' 7""",125 lbs.,"68.0""",Southpaw,13,0,0,13,125,170.18
1338,Josh,Bryant,The Beast,"5' 10""",185 lbs.,--,Orthodox,12,1,0,13,185,177.8
1339,Claudio,Silva,Hannibal,"5' 11""",170 lbs.,"71.0""",Southpaw,12,1,0,13,170,180.34
1340,Raoni,Barcelos,,"5' 7""",145 lbs.,"67.0""",Orthodox,12,1,0,13,145,170.18
1341,Said,Nurmagomedov,,"5' 8""",125 lbs.,"70.0""",Orthodox,12,1,0,13,125,172.72
1342,Paul,Jones,,"5' 9""",199 lbs.,--,Orthodox,11,1,1,13,199,175.26
1343,Niko,Price,The Hybrid,"6' 0""",170 lbs.,"76.0""",Orthodox,12,1,0,13,170,182.88
1344,Oskar,Piechota,Imadlo,"6' 0""",185 lbs.,"76.0""",Southpaw,11,1,1,13,185,182.88
1346,Manny,Vazquez,,"5' 10""",125 lbs.,"72.0""",Orthodox,11,2,0,13,125,177.8
1347,Vinc,Pichel,From Hell,"5' 10""",155 lbs.,"72.0""",Orthodox,11,2,0,13,155,177.8
1348,James,Mulheron,The Juggernaut,"5' 10""",243 lbs.,"73.0""",Orthodox,11,2,0,13,265,177.8
1349,Yair,Rodriguez,El Pantera,"5' 11""",145 lbs.,"71.0""",,11,2,0,13,145,180.34
1350,Elias,Silverio,Xuxu,"5' 11""",155 lbs.,"73.0""",Orthodox,11,2,0,13,155,180.34
1351,Nick,Barnes,,"5' 11""",170 lbs.,--,,11,2,0,13,170,180.34
1352,Chad,Robichaux,Robo,"5' 4""",135 lbs.,--,,11,2,0,13,135,162.56
1353,Taylor,Lapilus,Double Impact,"5' 6""",135 lbs.,"73.0""",Southpaw,11,2,0,13,135,167.64000000000001
1354,Joao,Roque,,"5' 6""",155 lbs.,--,Orthodox,7,2,4,13,155,167.64000000000001
1355,Filip,Pejic,Nitro,"5' 8""",135 lbs.,"70.0""",Orthodox,10,2,1,13,135,172.72
1356,Levan,Makashvili,The Hornet,"5' 8""",145 lbs.,"68.0""",Orthodox,10,2,1,13,145,172.72
1357,Nad,Narimani,Smiler,"5' 8""",145 lbs.,"70.0""",Orthodox,11,2,0,13,145,172.72
1358,Billy,Evangelista,,"5' 8""",155 lbs.,"68.0""",Orthodox,11,2,0,13,155,172.72
1359,Jordan,Parsons,Pretty Boy,"5' 9""",145 lbs.,--,,11,2,0,13,145,175.26
1360,Scott,Holtzman,Hot Sauce,"5' 9""",155 lbs.,"69.0""",Orthodox,11,2,0,13,155,175.26
1361,Jeremiah,Billington,,"5' 9""",205 lbs.,--,Orthodox,11,2,0,13,205,175.26
1362,Sage,Northcutt,Super,"6' 0""",170 lbs.,"71.0""",Orthodox,11,2,0,13,170,182.88
1363,Pawel,Pawlak,,"6' 0""",170 lbs.,"73.0""",Orthodox,11,2,0,13,170,182.88
1364,Pascal,Krauss,Panzer,"6' 1""",170 lbs.,"72.0""",Orthodox,11,2,0,13,170,185.42
1365,Chase,Waldon,,"6' 1""",185 lbs.,"75.0""",Orthodox,11,2,0,13,185,185.42
1366,Antonio,Carlos Junior,Cara de Sapato,"6' 2""",185 lbs.,"79.0""",Orthodox,11,2,0,13,185,187.96
1367,Justin,Wren,The Viking,"6' 2""",265 lbs.,--,Orthodox,11,2,0,13,265,187.96
1368,Rob,Wilkinson,Razor,"6' 3""",185 lbs.,"80.0""",Orthodox,11,2,0,13,185,190.5
1369,Jonathan,Wiezorek,,"6' 3""",250 lbs.,--,Southpaw,11,2,0,13,265,190.5
1370,Shane,del Rosario,,"6' 4""",250 lbs.,"79.0""",Southpaw,11,2,0,13,265,193.04
1374,Tecia,Torres,The Tiny Tornado,"5' 1""",115 lbs.,"60.0""",Orthodox,10,3,0,13,115,154.94
1375,Neil,Wain,Old School,"5' 10""",242 lbs.,--,Orthodox,10,3,0,13,265,177.8
1376,Won Sik,Park,Parky,"5' 11""",154 lbs.,--,Orthodox,9,3,1,13,154,180.34
1377,Azamat,Gashimov,,"5' 6""",125 lbs.,"66.0""",Orthodox,10,3,0,13,125,167.64000000000001
1378,Nick,Urso,,"5' 6""",125 lbs.,"66.0""",Southpaw,10,3,0,13,125,167.64000000000001
1379,Cat,Zingano,Alpha,"5' 6""",135 lbs.,"68.0""",Southpaw,10,3,0,13,135,167.64000000000001
1380,Sergio,Gomez,,"5' 6""",155 lbs.,--,Orthodox,10,3,0,13,155,167.64000000000001
1381,Chris,Beal,Real Deal,"5' 7""",125 lbs.,"69.0""",Orthodox,10,3,0,13,125,170.18
1382,Brian,Bowles,,"5' 7""",135 lbs.,"70.0""",Orthodox,10,3,0,13,135,170.18
1383,Matthew,Lopez,,"5' 7""",135 lbs.,"69.0""",Southpaw,10,3,0,13,135,170.18
1384,Bibiano,Fernandes,,"5' 7""",139 lbs.,--,Orthodox,10,3,0,13,139,170.18
1385,Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,13,170,170.18
1386,Austin,Springer,,"5' 8""",145 lbs.,"71.0""",Orthodox,10,3,0,13,145,172.72
1387,Chris,Manuel,,"5' 9""",135 lbs.,--,Orthodox,8,3,2,13,135,175.26
1388,Lando,Vannata,Groovy,"5' 9""",155 lbs.,"71.0""",Orthodox,9,3,1,13,155,175.26
1389,Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,13,170,182.88
1390,Randy,Brown,Rudeboy,"6' 3""",170 lbs.,"78.0""",Orthodox,10,3,0,13,170,190.5
1391,Ryan,Janes,,"6' 3""",185 lbs.,"76.0""",Orthodox,10,3,0,13,185,190.5
1393,Brandon,Davis,Killer B,"5' 10""",145 lbs.,"72.0""",Orthodox,9,4,0,13,145,177.8
1394,Conor,Heun,Hurricane,"5' 10""",155 lbs.,--,Orthodox,9,4,0,13,155,177.8
1395,Mike,Rio,The Wolverine,"5' 10""",155 lbs.,"71.0""",Orthodox,9,4,0,13,155,177.8
1396,Enrique,Marin,Wasabi,"5' 10""",170 lbs.,"74.0""",,9,4,0,13,170,177.8
1397,Cameron,Dollar,,"5' 11""",155 lbs.,--,Orthodox,9,4,0,13,155,180.34
1398,Kevin,Gray,Pocket Herc,"5' 4""",125 lbs.,"67.0""",Orthodox,9,4,0,13,125,162.56
1399,Alptekin,Ozkilic,The Turkish Delight,"5' 5""",125 lbs.,"65.0""",Orthodox,9,4,0,13,125,165.1
1400,Tim,Gorman,The Psycho,"5' 5""",135 lbs.,"68.0""",Southpaw,9,4,0,13,135,165.1
1401,Ulysses,Gomez,Useless,"5' 6""",125 lbs.,"66.0""",Orthodox,9,4,0,13,125,167.64000000000001
1402,Montana,De La Rosa,,"5' 7""",125 lbs.,"68.0""",,9,4,0,13,125,170.18
1403,Edwin,Figueroa,El Feroz,"5' 7""",135 lbs.,"69.0""",Orthodox,9,4,0,13,135,170.18
1404,Roman,Salazar,El Gallito,"5' 7""",135 lbs.,"67.0""",Orthodox,9,4,0,13,135,170.18
1405,Karen,Darabedyan,,"5' 7""",155 lbs.,"68.0""",Orthodox,9,4,0,13,155,170.18
